Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 01-Dec-2018 at 20:35:30.
Created 01-Dec-2018 20:35:30.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74409E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.2000	-0.001370	-0.008262	 0.006166	 0.035095	-0.001153
 0.2250	 	 	 	 	-0.001758
 0.2500	-0.001662	-0.003247	 0.007313	 0.010342	-0.002516
 0.2750	 	 	 	 	-0.005336
 0.3000	-0.001612	 0.005387	 0.006875	-0.028308	-0.009107
 0.3250	 	 	 	 	-0.014371
 0.3500	-0.001130	 0.013896	 0.004554	-0.064795	-0.020423
 0.3750	 	 	 	 	-0.027419
 0.4000	-0.000304	 0.018979	 0.000756	-0.087266	-0.034073
 0.4250	 	 	 	 	-0.039985
 0.4500	 0.000619	 0.017584	-0.003601	-0.086962	-0.043954
 0.4750	 	 	 	 	-0.045581
 0.5000	 0.001253	 0.007454	-0.007259	-0.059019	-0.043649
 0.5250	 	 	 	 	-0.036904
 0.5500	 0.001199	-0.009306	-0.008926	-0.007482	-0.026399
 0.5750	 	 	 	 	-0.009230
 0.6000	 0.000334	-0.023640	-0.007583	 0.060883	 0.008783
 0.6250	 	 	 	 	 0.031158
 0.6500	-0.000837	-0.020670	-0.002867	 0.126018	 0.047819
 0.6750	 	 	 	 	 0.059769
 0.7000	-0.001186	 0.007182	 0.004194	 0.153260	 0.060909
 0.7250	 	 	 	 	 0.049927
 0.7500	-0.000165	 0.029247	 0.010987	 0.114022	 0.032118
 0.7750	 	 	 	 	 0.007242
 0.8000	 0.001038	 0.013921	 0.013882	-0.001222	-0.010719
 0.8250	 	 	 	 	-0.021817
